filename,width,height,class,xmin,ymin,xmax,ymax
HUMP-59-_jpg.rf.000e7ddafa712cfc8a941be819b42c9c.jpg,640,640,Hump,60,165,586,489
SPEED_LIM-1308-_png.rf.000cf588322fb3de917bb4a0ff511f6b.jpg,640,640,Speed Limit -90-,163,176,465,469
NARROWROADAH-13-_jpg.rf.0025513205c811b006d3469981f139b2.jpg,640,640,Narrow road ahead,184,191,447,441
SPEED_LIM-513-_png.rf.0043647dcd899bc177853e1a7af5be4d.jpg,640,640,Speed Limit -10-,74,182,560,595
FIRST-AID-6-_jpg.rf.004dc1460dca625cb6b6cd91f149e028.jpg,640,640,First Aid Post,61,78,597,566
RRBEN-28-_jpg.rf.009cca9106e75ecf3410ad78db110a80.jpg,640,640,Right Reverse Bend,122,80,532,484
RHC-33-_jpg.rf.00c0d688255b159c58a01ec325dd084b.jpg,640,640,Right Hand Curve,77,84,551,501
SAHED-2-_png.rf.00c6fcf3dd81b8d02531ed4aac605ad6.jpg,640,640,School Ahead,34,26,614,610
NARROWROADAH-20-_jpg.rf.0077002629df3710730b908d9e84b17e.jpg,640,640,Narrow road ahead,327,33,522,288
SPEED_LIM-865-_png.rf.00b5ba38f7768d5f111b9b60f4008639.jpg,640,640,Speed Limit -80-,104,135,543,504
SPEED_LIM-944-_png.rf.00c24c09cdff4eaf477ecd6fc3fc38c4.jpg,640,640,Speed Limit 30,77,119,551,532
SPEED_LIM-808-_png.rf.001b0ad6c2104397476acacb25934f69.jpg,640,640,Speed limit -40-,74,91,557,567
STEEPDES-45-_png.rf.010ec9dad077413b71105eb95dc9b5ce.jpg,640,640,Steep Desecnt,17,21,626,612
RRBEN-26-_jpg.rf.00147a50f11ea237cc1b614b760f0210.jpg,640,640,Right Reverse Bend,59,80,614,514
SPEED_LIM-559-_png.rf.00ba9cef308024319c17e747c95c2295.jpg,640,640,Speed Limit -60-,30,24,604,608
STEEPAS-39-_png.rf.00e3c8ee73040099620bb2c33e418a5c.jpg,640,640,Steep Ascent,31,41,585,555
SPEED_LIM-298-_png.rf.00d2446354a793bec026fde768aee7df.jpg,640,640,Speed limit -40-,105,152,535,494
NP-1-_jpg.rf.010384dfb3d40e6647483ee43b6e9e02.jpg,640,640,No Parking,147,84,393,497
SLIPROAD-17-_png.rf.014f26a900547940fe2a04c5fc63d169.jpg,640,640,Slippery Road,26,3,605,617
BA-25-_png.rf.00550f7bd022be2f37db3afbdf1e48f8.jpg,640,640,Barrier Ahead,33,36,618,600
RRBEN-84-_jpg.rf.011302557bac2b3e4b21a5e8074b219f.jpg,640,640,Right Reverse Bend,101,100,528,511
CC-20-_png.rf.0183a3d6c3702b918dc60c62dbd7e583.jpg,640,640,Cycle Crossing,55,48,597,569
SPEED_LIM-1233-_png.rf.017737b7dbdc779b0dd84ca2dccb2fd6.jpg,640,640,Speed Limit 30,119,153,515,496
CC-23-_jpg.rf.018c691bfafa761f6284d7eb3c39cbdf.jpg,640,640,Cycle Crossing,31,11,568,605
CC-2-_png.rf.0198a456f1f5336a3ab5767cf1c98f44.jpg,640,640,Cycle Crossing,78,76,565,570
CC-32-_png.rf.00842d78ddb3e2ce8cfb7a8099f9b213.jpg,640,640,Cycle Crossing,99,266,567,605
SPEED_LIM-403-_png.rf.013189fe60cb72585768b03a38283eee.jpg,640,640,Speed Limit -110-,131,166,499,464
SPEED_LIM-343-_png.rf.01a601da7d4d48f6b0e9139adbb8159f.jpg,640,640,Speed limit -40-,45,198,574,488
SPEED_LIM-343-_png.rf.01b28d2adc9dc824329b320e90633f8b.jpg,640,640,Speed limit -40-,45,198,574,488
SPEED_LIM-932-_png.rf.00b7bdc85bc6b7a2876101b7b513f9b9.jpg,640,640,Speed Limit -50-,77,119,551,532
